delitopenal;comunidad;year;valor;variacioninteranual
    12. Estafas informáticas;CIUDAD AUTÓNOMA DE MELILLA;2022;322;33,61%
    12. Estafas informáticas;CIUDAD AUTÓNOMA DE MELILLA;2019;241;-30,75%
    12. Estafas informáticas;CIUDAD AUTÓNOMA DE MELILLA;2021;348;sin datos
    12. Estafas informáticas;COMUNITAT VALENCIANA;2022;29216;85,40%
    12. Estafas informáticas;COMUNITAT VALENCIANA;2019;15758;-35,49%
    12. Estafas informáticas;COMUNITAT VALENCIANA;2021;24428;sin datos
    12. Estafas informáticas;EN EL EXTRANJERO;2022;4965;-14,57%
    12. Estafas informáticas;EN EL EXTRANJERO;2019;5812;44,90%
    12. Estafas informáticas;EN EL EXTRANJERO;2021;4011;sin datos
    12. Estafas informáticas;EXTREMADURA;2022;6584;173,20%
    12. Estafas informáticas;EXTREMADURA;2019;2410;-47,54%
    12. Estafas informáticas;EXTREMADURA;2021;4594;sin datos
    12. Estafas informáticas;GALICIA;2022;18547;85,49%
    12. Estafas informáticas;GALICIA;2019;9999;-48,71%
    12. Estafas informáticas;GALICIA;2021;19496;sin datos
    12. Estafas informáticas;MADRID (COMUNIDAD DE);2022;58446;77,97%
    12. Estafas informáticas;MADRID (COMUNIDAD DE);2019;32841;-30,09%
    12. Estafas informáticas;MADRID (COMUNIDAD DE);2021;46978;sin datos
    12. Estafas informáticas;MURCIA (REGIÓN DE);2022;8619;156,67%
    12. Estafas informáticas;MURCIA (REGIÓN DE);2019;3358;-50,28%
    12. Estafas informáticas;MURCIA (REGIÓN DE);2021;6754;sin datos
    12. Estafas informáticas;NAVARRA (COMUNIDAD FORAL DE);2022;4813;76,04%
    12. Estafas informáticas;NAVARRA (COMUNIDAD FORAL DE);2019;2734;-25,56%
    12. Estafas informáticas;NAVARRA (COMUNIDAD FORAL DE);2021;3673;sin datos
    12. Estafas informáticas;PAÍS VASCO;2022;18825;36,48%
    12. Estafas informáticas;PAÍS VASCO;2019;13793;-8,14%
    12. Estafas informáticas;PAÍS VASCO;2021;15016;sin datos
    12. Estafas informáticas;RIOJA (LA);2022;2183;119,18%
    12. Estafas informáticas;RIOJA (LA);2019;996;-44,48%
    12. Estafas informáticas;RIOJA (LA);2021;1794;sin datos
    12. Estafas informáticas;TOTAL NACIONAL;2022;336778;75,06%
    12. Estafas informáticas;TOTAL NACIONAL;2019;192375;-27,95%
    12. Estafas informáticas;TOTAL NACIONAL;2021;267011;sin datos
    13. Otros ciberdelitos;ANDALUCÍA;2022;7564;39,61%
    13. Otros ciberdelitos;ANDALUCÍA;2019;5418;-24,80%
    13. Otros ciberdelitos;ANDALUCÍA;2021;7205;sin datos
    13. Otros ciberdelitos;ARAGÓN;2022;889;41,79%
    13. Otros ciberdelitos;ARAGÓN;2019;627;-45,53%
    13. Otros ciberdelitos;ARAGÓN;2021;1151;sin datos
    13. Otros ciberdelitos;ASTURIAS (PRINCIPADO DE);2022;905;79,21%
    13. Otros ciberdelitos;ASTURIAS (PRINCIPADO DE);2019;505;-29,76%
    13. Otros ciberdelitos;ASTURIAS (PRINCIPADO DE);2021;719;sin datos
    13. Otros ciberdelitos;BALEARS (ILLES);2022;1227;52,23%
    13. Otros ciberdelitos;BALEARS (ILLES);2019;806;-37,47%
    13. Otros ciberdelitos;BALEARS (ILLES);2021;1289;sin datos
    13. Otros ciberdelitos;CANARIAS;2022;1988;27,85%
    13. Otros ciberdelitos;CANARIAS;2019;1555;-20,62%
    13. Otros ciberdelitos;CANARIAS;2021;1959;sin datos
    13. Otros ciberdelitos;CANTABRIA;2022;461;44,06%
    13. Otros ciberdelitos;CANTABRIA;2019;320;-40,63%
    13. Otros ciberdelitos;CANTABRIA;2021;539;sin datos
    13. Otros ciberdelitos;CASTILLA - LA MANCHA;2022;2041;64,33%
    13. Otros ciberdelitos;CASTILLA - LA MANCHA;2019;1242;-33,23%
    13. Otros ciberdelitos;CASTILLA - LA MANCHA;2021;1860;sin datos
    13. Otros ciberdelitos;CASTILLA Y LEÓN;2022;2333;55,53%
    13. Otros ciberdelitos;CASTILLA Y LEÓN;2019;1500;-32,52%
    13. Otros ciberdelitos;CASTILLA Y LEÓN;2021;2223;sin datos
    13. Otros ciberdelitos;CATALUÑA;2022;2285;46,38%
    13. Otros ciberdelitos;CATALUÑA;2019;1561;-36,05%
    13. Otros ciberdelitos;CATALUÑA;2021;2441;sin datos
    13. Otros ciberdelitos;CIUDAD AUTÓNOMA DE CEUTA;2022;99;52,31%
    13. Otros ciberdelitos;CIUDAD AUTÓNOMA DE CEUTA;2019;65;-42,98%
    13. Otros ciberdelitos;CIUDAD AUTÓNOMA DE CEUTA;2021;114;sin datos
    13. Otros ciberdelitos;CIUDAD AUTÓNOMA DE MELILLA;2022;76;65,22%
    13. Otros ciberdelitos;CIUDAD AUTÓNOMA DE MELILLA;2019;46;-47,13%
    13. Otros ciberdelitos;CIUDAD AUTÓNOMA DE MELILLA;2021;87;sin datos
    13. Otros ciberdelitos;COMUNITAT VALENCIANA;2022;4962;53,86%
    13. Otros ciberdelitos;COMUNITAT VALENCIANA;2019;3225;-36,52%
    13. Otros ciberdelitos;COMUNITAT VALENCIANA;2021;5080;sin datos
    13. Otros ciberdelitos;EN EL EXTRANJERO;2022;178;-39,25%
    13. Otros ciberdelitos;EN EL EXTRANJERO;2019;293;20,08%
    13. Otros ciberdelitos;EN EL EXTRANJERO;2021;244;sin datos
    13. Otros ciberdelitos;EXTREMADURA;2022;949;48,51%
    13. Otros ciberdelitos;EXTREMADURA;2019;639;-32,31%
    13. Otros ciberdelitos;EXTREMADURA;2021;944;sin datos
    13. Otros ciberdelitos;GALICIA;2022;2457;50,55%
    13. Otros ciberdelitos;GALICIA;2019;1632;-35,08%
    13. Otros ciberdelitos;GALICIA;2021;2514;sin datos
    13. Otros ciberdelitos;MADRID (COMUNIDAD DE);2022;5991;43,50%
    13. Otros ciberdelitos;MADRID (COMUNIDAD DE);2019;4175;-31,12%
    13. Otros ciberdelitos;MADRID (COMUNIDAD DE);2021;6061;sin datos
    13. Otros ciberdelitos;MURCIA (REGIÓN DE);2022;1318;95,84%
    13. Otros ciberdelitos;MURCIA (REGIÓN DE);2019;673;-46,37%
    13. Otros ciberdelitos;MURCIA (REGIÓN DE);2021;1255;sin datos
    13. Otros ciberdelitos;NAVARRA (COMUNIDAD FORAL DE);2022;681;42,77%
    13. Otros ciberdelitos;NAVARRA (COMUNIDAD FORAL DE);2019;477;-30,77%
    13. Otros ciberdelitos;NAVARRA (COMUNIDAD FORAL DE);2021;689;sin datos
    13. Otros ciberdelitos;PAÍS VASCO;2022;2042;95,59%
    13. Otros ciberdelitos;PAÍS VASCO;2019;1044;-41,41%
    13. Otros ciberdelitos;PAÍS VASCO;2021;1782;sin datos
    13. Otros ciberdelitos;RIOJA (LA);2022;282;127,42%
    13. Otros ciberdelitos;RIOJA (LA);2019;124;-60,00%
    13. Otros ciberdelitos;RIOJA (LA);2021;310;sin datos
    13. Otros ciberdelitos;TOTAL NACIONAL;2022;38728;49,37%
    13. Otros ciberdelitos;TOTAL NACIONAL;2019;25927;-32,60%
    13. Otros ciberdelitos;TOTAL NACIONAL;2021;38466;sin datos
    2. Homicidios dolosos y asesinatos en grado tentativa;ANDALUCÍA;2022;283;81,41%
    2. Homicidios dolosos y asesinatos en grado tentativa;ANDALUCÍA;2019;156;-28,77%
    2. Homicidios dolosos y asesinatos en grado tentativa;ANDALUCÍA;2021;219;-7,98%
    2. Homicidios dolosos y asesinatos en grado tentativa;ANDALUCÍA;2020;238;25,26%
    2. Homicidios dolosos y asesinatos en grado tentativa;ANDALUCÍA;2018;190;-8,21%
    2. Homicidios dolosos y asesinatos en grado tentativa;ANDALUCÍA;2017;207;sin datos
    2. Homicidios dolosos y asesinatos en grado tentativa;ARAGÓN;2022;27;200,00%
    2. Homicidios dolosos y asesinatos en grado tentativa;ARAGÓN;2019;9;-30,77%
    2. Homicidios dolosos y asesinatos en grado tentativa;ARAGÓN;2021;13;-62,86%
    2. Homicidios dolosos y asesinatos en grado tentativa;ARAGÓN;2020;35;337,50%
    2. Homicidios dolosos y asesinatos en grado tentativa;ARAGÓN;2018;8;-46,67%
    2. Homicidios dolosos y asesinatos en grado tentativa;ARAGÓN;2017;15;sin datos
    2. Homicidios dolosos y asesinatos en grado tentativa;ASTURIAS (PRINCIPADO DE);2022;16;45,45%
    2. Homicidios dolosos y asesinatos en grado tentativa;ASTURIAS (PRINCIPADO DE);2019;11;37,50%
    2. Homicidios dolosos y asesinatos en grado tentativa;ASTURIAS (PRINCIPADO DE);2021;8;-11,11%
    2. Homicidios dolosos y asesinatos en grado tentativa;ASTURIAS (PRINCIPADO DE);2020;9;-18,18%
    2. Homicidios dolosos y asesinatos en grado tentativa;ASTURIAS (PRINCIPADO DE);2018;11;0,00%
    2. Homicidios dolosos y asesinatos en grado tentativa;ASTURIAS (PRINCIPADO DE);2017;11;sin datos
    2. Homicidios dolosos y asesinatos en grado tentativa;BALEARS (ILLES);2022;35;-16,67%
    2. Homicidios dolosos y asesinatos en grado tentativa;BALEARS (ILLES);2019;42;31,25%
    2. Homicidios dolosos y asesinatos en grado tentativa;BALEARS (ILLES);2021;32;0,00%
    2. Homicidios dolosos y asesinatos en grado tentativa;BALEARS (ILLES);2020;32;-11,11%
    2. Homicidios dolosos y asesinatos en grado tentativa;BALEARS (ILLES);2018;36;28,57%
    2. Homicidios dolosos y asesinatos en grado tentativa;BALEARS (ILLES);2017;28;sin datos
    2. Homicidios dolosos y asesinatos en grado tentativa;CANARIAS;2022;47;6,82%
    2. Homicidios dolosos y asesinatos en grado tentativa;CANARIAS;2019;44;18,92%
    2. Homicidios dolosos y asesinatos en grado tentativa;CANARIAS;2021;37;-11,90%
    2. Homicidios dolosos y asesinatos en grado tentativa;CANARIAS;2020;42;2,44%
    2. Homicidios dolosos y asesinatos en grado tentativa;CANARIAS;2018;41;13,89%
    2. Homicidios dolosos y asesinatos en grado tentativa;CANARIAS;2017;36;sin datos
    2. Homicidios dolosos y asesinatos en grado tentativa;CANTABRIA;2022;11;22,22%
    2. Homicidios dolosos y asesinatos en grado tentativa;CANTABRIA;2019;9;-18,18%
    2. Homicidios dolosos y asesinatos en grado tentativa;CANTABRIA;2021;11;266,67%
    2. Homicidios dolosos y asesinatos en grado tentativa;CANTABRIA;2020;3;0,00%
    2. Homicidios dolosos y asesinatos en grado tentativa;CANTABRIA;2018;3;-25,00%
    2. Homicidios dolosos y asesinatos en grado tentativa;CANTABRIA;2017;4;sin datos
    2. Homicidios dolosos y asesinatos en grado tentativa;CASTILLA - LA MANCHA;2022;47;56,67%
    2. Homicidios dolosos y asesinatos en grado tentativa;CASTILLA - LA MANCHA;2019;30;-55,88%
    2. Homicidios dolosos y asesinatos en grado tentativa;CASTILLA - LA MANCHA;2021;68;94,29%
    2. Homicidios dolosos y asesinatos en grado tentativa;CASTILLA - LA MANCHA;2020;35;20,69%
    2. Homicidios dolosos y asesinatos en grado tentativa;CASTILLA - LA MANCHA;2018;29;-14,71%
    2. Homicidios dolosos y asesinatos en grado tentativa;CASTILLA - LA MANCHA;2017;34;sin datos
    2. Homicidios dolosos y asesinatos en grado tentativa;CASTILLA Y LEÓN;2022;39;30,00%
    2. Homicidios dolosos y asesinatos en grado tentativa;CASTILLA Y LEÓN;2019;30;20,00%
    2. Homicidios dolosos y asesinatos en grado tentativa;CASTILLA Y LEÓN;2021;25;-13,79%
    2. Homicidios dolosos y asesinatos en grado tentativa;CASTILLA Y LEÓN;2020;29;26,09%
    2. Homicidios dolosos y asesinatos en grado tentativa;CASTILLA Y LEÓN;2018;23;35,29%
    2. Homicidios dolosos y asesinatos en grado tentativa;CASTILLA Y LEÓN;2017;17;sin datos
    2. Homicidios dolosos y asesinatos en grado tentativa;CATALUÑA;2022;203;6,84%
    2. Homicidios dolosos y asesinatos en grado tentativa;CATALUÑA;2019;190;-10,80%
    2. Homicidios dolosos y asesinatos en grado tentativa;CATALUÑA;2021;213;42,95%
    2. Homicidios dolosos y asesinatos en grado tentativa;CATALUÑA;2020;149;-11,31%
    2. Homicidios dolosos y asesinatos en grado tentativa;CATALUÑA;2018;168;16,67%
    2. Homicidios dolosos y asesinatos en grado tentativa;CATALUÑA;2017;144;sin datos
    2. Homicidios dolosos y asesinatos en grado tentativa;CIUDAD AUTÓNOMA DE CEUTA;2022;31;93,75%
    2. Homicidios dolosos y asesinatos en grado tentativa;CIUDAD AUTÓNOMA DE CEUTA;2019;16;60,00%
    2. Homicidios dolosos y asesinatos en grado tentativa;CIUDAD AUTÓNOMA DE CEUTA;2021;10;100,00%
    2. Homicidios dolosos y asesinatos en grado tentativa;CIUDAD AUTÓNOMA DE CEUTA;2020;5;400,00%
    2. Homicidios dolosos y asesinatos en grado tentativa;CIUDAD AUTÓNOMA DE CEUTA;2018;1;-85,71%
    2. Homicidios dolosos y asesinatos en grado tentativa;CIUDAD AUTÓNOMA DE CEUTA;2017;7;sin datos
    2. Homicidios dolosos y asesinatos en grado tentativa;CIUDAD AUTÓNOMA DE MELILLA;2022;5;-37,50%
    2. Homicidios dolosos y asesinatos en grado tentativa;CIUDAD AUTÓNOMA DE MELILLA;2019;8;100,00%
    2. Homicidios dolosos y asesinatos en grado tentativa;CIUDAD AUTÓNOMA DE MELILLA;2021;4;100,00%
    2. Homicidios dolosos y asesinatos en grado tentativa;CIUDAD AUTÓNOMA DE MELILLA;2020;2;100,00%
    2. Homicidios dolosos y asesinatos en grado tentativa;CIUDAD AUTÓNOMA DE MELILLA;2018;1;-87,50%
    2. Homicidios dolosos y asesinatos en grado tentativa;CIUDAD AUTÓNOMA DE MELILLA;2017;8;sin datos
    2. Homicidios dolosos y asesinatos en grado tentativa;COMUNITAT VALENCIANA;2022;137;26,85%
    2. Homicidios dolosos y asesinatos en grado tentativa;COMUNITAT VALENCIANA;2019;108;-7,69%
    2. Homicidios dolosos y asesinatos en grado tentativa;COMUNITAT VALENCIANA;2021;117;28,57%
    2. Homicidios dolosos y asesinatos en grado tentativa;COMUNITAT VALENCIANA;2020;91;-2,15%
    2. Homicidios dolosos y asesinatos en grado tentativa;COMUNITAT VALENCIANA;2018;93;43,08%
    2. Homicidios dolosos y asesinatos en grado tentativa;COMUNITAT VALENCIANA;2017;65;sin datos
    2. Homicidios dolosos y asesinatos en grado tentativa;EN EL EXTRANJERO;2022;0;-100,00%
    2. Homicidios dolosos y asesinatos en grado tentativa;EN EL EXTRANJERO;2019;1;100,00%
    2. Homicidios dolosos y asesinatos en grado tentativa;EN EL EXTRANJERO;2021;0;0,00%
    2. Homicidios dolosos y asesinatos en grado tentativa;EN EL EXTRANJERO;2020;0;0,00%
    2. Homicidios dolosos y asesinatos en grado tentativa;EN EL EXTRANJERO;2018;0;0,00%
    2. Homicidios dolosos y asesinatos en grado tentativa;EN EL EXTRANJERO;2017;0;sin datos
    2. Homicidios dolosos y asesinatos en grado tentativa;EXTREMADURA;2022;7;-12,50%
    2. Homicidios dolosos y asesinatos en grado tentativa;EXTREMADURA;2019;8;-61,90%
    2. Homicidios dolosos y asesinatos en grado tentativa;EXTREMADURA;2021;21;75,00%
    2. Homicidios dolosos y asesinatos en grado tentativa;EXTREMADURA;2020;12;-7,69%
    2. Homicidios dolosos y asesinatos en grado tentativa;EXTREMADURA;2018;13;-18,75%
    2. Homicidios dolosos y asesinatos en grado tentativa;EXTREMADURA;2017;16;sin datos
    2. Homicidios dolosos y asesinatos en grado tentativa;GALICIA;2022;44;76,00%
    2. Homicidios dolosos y asesinatos en grado tentativa;GALICIA;2019;25;-26,47%
    2. Homicidios dolosos y asesinatos en grado tentativa;GALICIA;2021;34;3,03%
    2. Homicidios dolosos y asesinatos en grado tentativa;GALICIA;2020;33;32,00%
    2. Homicidios dolosos y asesinatos en grado tentativa;GALICIA;2018;25;-7,41%
    2. Homicidios dolosos y asesinatos en grado tentativa;GALICIA;2017;27;sin datos
    2. Homicidios dolosos y asesinatos en grado tentativa;MADRID (COMUNIDAD DE);2022;134;71,79%
    2. Homicidios dolosos y asesinatos en grado tentativa;MADRID (COMUNIDAD DE);2019;78;-17,02%
    2. Homicidios dolosos y asesinatos en grado tentativa;MADRID (COMUNIDAD DE);2021;94;-5,05%
    2. Homicidios dolosos y asesinatos en grado tentativa;MADRID (COMUNIDAD DE);2020;99;26,92%
    2. Homicidios dolosos y asesinatos en grado tentativa;MADRID (COMUNIDAD DE);2018;78;-9,30%
    2. Homicidios dolosos y asesinatos en grado tentativa;MADRID (COMUNIDAD DE);2017;86;sin datos
    2. Homicidios dolosos y asesinatos en grado tentativa;MURCIA (REGIÓN DE);2022;51;96,15%
    2. Homicidios dolosos y asesinatos en grado tentativa;MURCIA (REGIÓN DE);2019;26;-43,48%
    2. Homicidios dolosos y asesinatos en grado tentativa;MURCIA (REGIÓN DE);2021;46;12,20%
    2. Homicidios dolosos y asesinatos en grado tentativa;MURCIA (REGIÓN DE);2020;41;64,00%
    2. Homicidios dolosos y asesinatos en grado tentativa;MURCIA (REGIÓN DE);2018;25;-19,35%
    2. Homicidios dolosos y asesinatos en grado tentativa;MURCIA (REGIÓN DE);2017;31;sin datos
    2. Homicidios dolosos y asesinatos en grado tentativa;NAVARRA (COMUNIDAD FORAL DE);2022;20;53,85%
    2. Homicidios dolosos y asesinatos en grado tentativa;NAVARRA (COMUNIDAD FORAL DE);2019;13;-38,10%
    2. Homicidios dolosos y asesinatos en grado tentativa;NAVARRA (COMUNIDAD FORAL DE);2021;21;-4,55%
    2. Homicidios dolosos y asesinatos en grado tentativa;NAVARRA (COMUNIDAD FORAL DE);2020;22;57,14%
    2. Homicidios dolosos y asesinatos en grado tentativa;NAVARRA (COMUNIDAD FORAL DE);2018;14;-33,33%
    2. Homicidios dolosos y asesinatos en grado tentativa;NAVARRA (COMUNIDAD FORAL DE);2017;21;sin datos
    2. Homicidios dolosos y asesinatos en grado tentativa;PAÍS VASCO;2022;63;133,33%
    2. Homicidios dolosos y asesinatos en grado tentativa;PAÍS VASCO;2019;27;-47,06%
    2. Homicidios dolosos y asesinatos en grado tentativa;PAÍS VASCO;2021;51;75,86%
    2. Homicidios dolosos y asesinatos en grado tentativa;PAÍS VASCO;2020;29;-21,62%
    2. Homicidios dolosos y asesinatos en grado tentativa;PAÍS VASCO;2018;37;2,78%
    2. Homicidios dolosos y asesinatos en grado tentativa;PAÍS VASCO;2017;36;sin datos
    2. Homicidios dolosos y asesinatos en grado tentativa;RIOJA (LA);2022;8;60,00%
    2. Homicidios dolosos y asesinatos en grado tentativa;RIOJA (LA);2019;5;0,00%
    2. Homicidios dolosos y asesinatos en grado tentativa;RIOJA (LA);2021;5;66,67%
    2. Homicidios dolosos y asesinatos en grado tentativa;RIOJA (LA);2020;3;50,00%
    2. Homicidios dolosos y asesinatos en grado tentativa;RIOJA (LA);2018;2;-66,67%
    2. Homicidios dolosos y asesinatos en grado tentativa;RIOJA (LA);2017;6;sin datos
    2. Homicidios dolosos y asesinatos en grado tentativa;TOTAL NACIONAL;2022;1208;44,50%
    2. Homicidios dolosos y asesinatos en grado tentativa;TOTAL NACIONAL;2019;836;-18,76%
    2. Homicidios dolosos y asesinatos en grado tentativa;TOTAL NACIONAL;2021;1029;13,20%
    2. Homicidios dolosos y asesinatos en grado tentativa;TOTAL NACIONAL;2020;909;13,91%
    2. Homicidios dolosos y asesinatos en grado tentativa;TOTAL NACIONAL;2018;798;-0,13%
    2. Homicidios dolosos y asesinatos en grado tentativa;TOTAL NACIONAL;2017;799;sin datos
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;ANDALUCÍA;2022;4836;39,21%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;ANDALUCÍA;2019;3474;-4,77%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;ANDALUCÍA;2021;3648;19,45%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;ANDALUCÍA;2020;3054;4,70%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;ANDALUCÍA;2018;2917;-0,44%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;ANDALUCÍA;2017;2930;sin datos
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;ARAGÓN;2022;716;29,71%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;ARAGÓN;2019;552;5,95%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;ARAGÓN;2021;521;31,90%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;ARAGÓN;2020;395;-19,39%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;ARAGÓN;2018;490;25,64%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;ARAGÓN;2017;390;sin datos
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;ASTURIAS (PRINCIPADO DE);2022;452;12,44%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;ASTURIAS (PRINCIPADO DE);2019;402;19,64%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;ASTURIAS (PRINCIPADO DE);2021;336;26,32%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;ASTURIAS (PRINCIPADO DE);2020;266;-28,30%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;ASTURIAS (PRINCIPADO DE);2018;371;13,11%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;ASTURIAS (PRINCIPADO DE);2017;328;sin datos
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;BALEARS (ILLES);2022;1319;53,91%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;BALEARS (ILLES);2019;857;11,59%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;BALEARS (ILLES);2021;768;25,08%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;BALEARS (ILLES);2020;614;-23,35%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;BALEARS (ILLES);2018;801;13,62%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;BALEARS (ILLES);2017;705;sin datos
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CANARIAS;2022;1211;5,49%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CANARIAS;2019;1148;5,32%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CANARIAS;2021;1090;19,39%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CANARIAS;2020;913;-14,03%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CANARIAS;2018;1062;0,38%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CANARIAS;2017;1058;sin datos
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CANTABRIA;2022;374;31,23%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CANTABRIA;2019;285;-4,36%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CANTABRIA;2021;298;27,90%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CANTABRIA;2020;233;-15,27%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CANTABRIA;2018;275;12,24%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CANTABRIA;2017;245;sin datos
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CASTILLA - LA MANCHA;2022;978;45,75%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CASTILLA - LA MANCHA;2019;671;-13,20%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CASTILLA - LA MANCHA;2021;773;30,57%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CASTILLA - LA MANCHA;2020;592;1,72%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CASTILLA - LA MANCHA;2018;582;1,57%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CASTILLA - LA MANCHA;2017;573;sin datos
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CASTILLA Y LEÓN;2022;1034;36,59%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CASTILLA Y LEÓN;2019;757;1,61%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CASTILLA Y LEÓN;2021;745;31,16%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CASTILLA Y LEÓN;2020;568;-21,00%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CASTILLA Y LEÓN;2018;719;11,13%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CASTILLA Y LEÓN;2017;647;sin datos
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CATALUÑA;2022;4026;19,86%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CATALUÑA;2019;3359;7,18%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CATALUÑA;2021;3134;41,43%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CATALUÑA;2020;2216;-31,29%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CATALUÑA;2018;3225;-12,51%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CATALUÑA;2017;3686;sin datos
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CIUDAD AUTÓNOMA DE CEUTA;2022;75;70,45%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CIUDAD AUTÓNOMA DE CEUTA;2019;44;-39,73%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CIUDAD AUTÓNOMA DE CEUTA;2021;73;-3,95%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CIUDAD AUTÓNOMA DE CEUTA;2020;76;49,02%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CIUDAD AUTÓNOMA DE CEUTA;2018;51;-12,07%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CIUDAD AUTÓNOMA DE CEUTA;2017;58;sin datos
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CIUDAD AUTÓNOMA DE MELILLA;2022;103;-30,87%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CIUDAD AUTÓNOMA DE MELILLA;2019;149;25,21%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CIUDAD AUTÓNOMA DE MELILLA;2021;119;-21,71%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CIUDAD AUTÓNOMA DE MELILLA;2020;152;7,80%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CIUDAD AUTÓNOMA DE MELILLA;2018;141;20,51%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;CIUDAD AUTÓNOMA DE MELILLA;2017;117;sin datos
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;COMUNITAT VALENCIANA;2022;3276;49,04%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;COMUNITAT VALENCIANA;2019;2198;-8,65%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;COMUNITAT VALENCIANA;2021;2406;38,36%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;COMUNITAT VALENCIANA;2020;1739;-11,55%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;COMUNITAT VALENCIANA;2018;1966;7,26%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;COMUNITAT VALENCIANA;2017;1833;sin datos
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;EN EL EXTRANJERO;2022;5;0,00%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;EN EL EXTRANJERO;2019;5;150,00%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;EN EL EXTRANJERO;2021;2;-77,78%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;EN EL EXTRANJERO;2020;9;200,00%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;EN EL EXTRANJERO;2018;3;-25,00%
    3. Delitos graves y menos graves de lesiones y riña tumultuaria;EN EL EXTRANJERO;2017;4;sin datos
